SeqNo,Sent(usec),Received(usec),Latency(ms),Result,TargetNode,LeaderHint,Term
1773725207,16232156213,16232592418,436.2,OK,0,0,2
1773725208,16233656361,16233936398,280.0,OK,0,0,2
1773725209,16235156511,16235437404,280.9,OK,0,0,2
1773725210,16236656777,16236937232,280.5,OK,0,0,2
1773725211,16238156944,16238437383,280.4,OK,0,0,2
1773725212,16239657128,16239937358,280.2,OK,0,0,2
1773725213,16241157300,16241437593,280.3,OK,0,0,2
1773725214,16242657468,16242937554,280.1,OK,0,0,2
1773725215,16244157755,16244438069,280.3,OK,0,0,2
1773725216,16245657937,16245937978,280.0,OK,0,0,2
1773725217,16247158096,16247438276,280.2,OK,0,0,2
1773725218,16248658235,16248937715,279.5,OK,0,0,2
1773725219,16250158399,16250438868,280.5,OK,0,0,2
1773725220,16251658548,16251939327,280.8,OK,0,0,2
1773725221,16253158724,16253439667,280.9,OK,0,0,2
1773725222,16254658880,0,0.0,TIMEOUT,0,-1,-1
1773725223,16256159062,0,0.0,NOT_LEADER,4,-1,3
1773725225,16259159447,0,0.0,NOT_LEADER,3,-1,5
1773725226,16260659740,16261303927,644.2,OK,3,3,5
1773725227,16262159927,16262805941,646.0,OK,3,3,5
1773725228,16263660100,16264114345,454.2,OK,3,3,5
1773725229,16265160255,16265537758,377.5,OK,3,3,5
1773725230,16266660396,16267038230,377.8,OK,3,3,5
1773725231,16268160595,16268538940,378.3,OK,3,3,5
1773725232,16269660790,16270039210,378.4,OK,3,3,5
1773725233,16271160970,16271538412,377.4,OK,3,3,5
1773725234,16272661152,16273039368,378.2,OK,3,3,5
1773725235,16274161345,16274539785,378.4,OK,3,3,5
1773725236,16275661526,16276040035,378.5,OK,3,3,5
1773725237,16277161705,16277539777,378.1,OK,3,3,5
1773725238,16278661911,16279040805,378.9,OK,3,3,5
1773725239,16280162079,16280540641,378.6,OK,3,3,5
1773725240,16281662238,16282041046,378.8,OK,3,3,5
1773725241,16283162406,16283541790,379.4,OK,3,3,5
1773725242,16284662679,0,0.0,TIMEOUT,3,-1,-1
1773725243,16286162864,0,0.0,NOT_LEADER,0,-1,6
1773725245,16289163209,0,0.0,NOT_LEADER,4,0,6
1773725246,16290663387,16291123444,460.1,OK,0,0,6
1773725247,16292163580,16292622271,458.7,OK,0,0,6
1773725248,16293663872,16294127115,463.2,OK,0,0,6
1773725249,16295164051,16295510056,346.0,OK,0,0,6
1773725250,16296664243,16297011855,347.6,OK,0,0,6
1773725251,16298164435,16298513469,349.0,OK,0,0,6
1773725252,16299664744,16300014853,350.1,OK,0,0,6
1773725253,16301164902,16301517679,352.8,OK,0,0,6
1773725254,16302665055,16303019077,354.0,OK,0,0,6
1773725255,16304165210,16304520396,355.2,OK,0,0,6
1773725256,16305665383,16306022644,357.3,OK,0,0,6
1773725257,16307165535,16307525967,360.4,OK,0,0,6
1773725258,16308665714,16309027519,361.8,OK,0,0,6
1773725259,16310165902,16310528092,362.2,OK,0,0,6
1773725260,16311666085,0,0.0,TIMEOUT,0,-1,-1
1773725261,16313166269,0,0.0,NOT_LEADER,3,0,6
1773725263,16316166642,0,0.0,NOT_LEADER,4,-1,8
1773725264,16317666810,0,0.0,NOT_LEADER,2,4,9
1773725265,16319167054,16319784939,617.9,OK,4,4,9
1773725266,16320667231,16321282945,615.7,OK,4,4,9
1773725267,16322167426,16322682300,514.9,OK,4,4,9
1773725268,16323667703,16324074310,406.6,OK,4,4,9
1773725269,16325167932,16325573190,405.3,OK,4,4,9
1773725270,16326668105,16327073772,405.7,OK,4,4,9
1773725271,16328168292,16328575201,406.9,OK,4,4,9
1773725272,16329668452,16330073170,404.7,OK,4,4,9
1773725273,16331168769,16331575804,407.0,OK,4,4,9
1773725274,16332668932,16333075928,407.0,OK,4,4,9
1773725275,16334169095,16334576837,407.7,OK,4,4,9
1773725276,16335669246,16336074569,405.3,OK,4,4,9
1773725277,16337169439,16337838755,669.3,OK,4,4,9
1773725278,16338669581,16339377676,708.1,OK,4,4,9
1773725279,16340169801,16340882935,713.1,OK,4,4,9
1773725280,16341669982,16342316940,647.0,OK,4,4,9
1773725281,16343170137,0,0.0,TIMEOUT,4,-1,-1
1773725282,16344670276,0,0.0,NOT_LEADER,3,0,10
1773725283,16346170444,16346755920,585.5,OK,0,0,10
1773725284,16347670611,16347975193,304.6,OK,0,0,10
1773725285,16349170782,16349474356,303.6,OK,0,0,10
1773725286,16350670926,16350975185,304.3,OK,0,0,10
1773725287,16352171089,16352475141,304.1,OK,0,0,10
1773725288,16353671250,16353975827,304.6,OK,0,0,10
1773725289,16355171415,16355475586,304.2,OK,0,0,10
1773725290,16356671618,16356975725,304.1,OK,0,0,10
1773725291,16358171898,16358475999,304.1,OK,0,0,10
1773725292,16359672046,16359976536,304.5,OK,0,0,10
1773725293,16361172213,16361477421,305.2,OK,0,0,10
1773725294,16362672356,16362977540,305.2,OK,0,0,10
1773725295,16364172520,16364468865,296.3,OK,0,0,10
1773725296,16365672667,16365968489,295.8,OK,0,0,10
1773725297,16367172840,16367469123,296.3,OK,0,0,10
1773725298,16368673048,16368968880,295.8,OK,0,0,10
1773725299,16370173208,0,0.0,TIMEOUT,0,-1,-1
1773725301,16373173522,0,0.0,NOT_LEADER,1,3,12
