SeqNo,Sent(usec),Received(usec),Latency(ms),Result,TargetNode,LeaderHint,Term
1773584059,184675550393,184675793105,242.7,OK,1,1,3
1773584060,184675793196,184676002261,209.1,OK,1,1,3
1773584061,184676002316,184676339338,337.0,OK,1,1,3
1773584062,184676339396,184676548043,208.6,OK,1,1,3
1773584063,184676548096,184676885286,337.2,OK,1,1,3
1773584064,184676885345,184677222890,337.5,OK,1,1,3
1773584065,184677222947,184677432523,209.6,OK,1,1,3
1773584066,184677432582,184677731216,298.6,OK,1,1,3
1773584067,184677731270,184677942242,211.0,OK,1,1,3
1773584068,184677942294,184678380467,438.2,OK,1,1,3
1773584069,184678380520,184678773220,392.7,OK,1,1,3
1773584070,184678773276,184678982196,208.9,OK,1,1,3
1773584071,184678982249,184679319589,337.3,OK,1,1,3
1773584072,184679319644,184679529120,209.5,OK,1,1,3
1773584073,184679529174,184679883342,354.2,OK,1,1,3
1773584074,184679883398,184680287455,404.1,OK,1,1,3
1773584075,184680287511,184680497395,209.9,OK,1,1,3
1773584076,184680497454,184680834127,336.7,OK,1,1,3
1773584077,184680834188,184681042235,208.0,OK,1,1,3
1773584078,184681042288,184681378468,336.2,OK,1,1,3
1773584079,184681378520,184681776682,398.2,OK,1,1,3
1773584080,184681776737,184681985344,208.6,OK,1,1,3
1773584081,184681985403,184682323337,337.9,OK,1,1,3
1773584082,184682323393,184682532430,209.0,OK,1,1,3
1773584083,184682532489,184682887931,355.4,OK,1,1,3
1773584084,184682887991,184683272497,384.5,OK,1,1,3
1773584085,184683272554,184683481256,208.7,OK,1,1,3
1773584086,184683481313,184683819277,338.0,OK,1,1,3
1773584087,184683819354,184684028114,208.8,OK,1,1,3
1773584088,184684028195,184684366009,337.8,OK,1,1,3
1773584089,184684366088,184684727862,361.8,OK,1,1,3
1773584090,184684727947,184684938338,210.4,OK,1,1,3
1773584091,184684938416,184685248372,310.0,OK,1,1,3
1773584092,184685248455,184685458404,209.9,OK,1,1,3
1773584093,184685458487,184685891977,433.5,OK,1,1,3
1773584094,184685892054,184686277732,385.7,OK,1,1,3
1773584095,184686277795,184686487325,209.5,OK,1,1,3
1773584096,184686487382,184686825681,338.3,OK,1,1,3
1773584097,184686825797,184687034413,208.6,OK,1,1,3
1773584098,184687034493,184687371373,336.9,OK,1,1,3
1773584099,184687371450,184687731202,359.8,OK,1,1,3
1773584100,184687731412,184687940336,208.9,OK,1,1,3
1773584101,184687940393,184688247613,307.2,OK,1,1,3
1773584102,184688247670,184688457195,209.5,OK,1,1,3
1773584103,184688457254,184688897450,440.2,OK,1,1,3
1773584104,184688897509,184689302058,404.5,OK,1,1,3
1773584105,184689302116,184689511317,209.2,OK,1,1,3
1773584106,184689511369,184689848360,337.0,OK,1,1,3
1773584107,184689848415,184690056493,208.1,OK,1,1,3
1773584108,184690056563,184690393476,336.9,OK,1,1,3
1773584109,184690393529,184690788993,395.5,OK,1,1,3
1773584110,184690789045,184690997027,208.0,OK,1,1,3
1773584111,184690997083,184691334335,337.3,OK,1,1,3
1773584112,184691334399,184691541735,207.3,OK,1,1,3
1773584113,184691541798,184691901251,359.5,OK,1,1,3
1773584114,184691901302,184692287637,386.3,OK,1,1,3
1773584115,184692287692,184692495456,207.8,OK,1,1,3
1773584116,184692495508,184692832164,336.7,OK,1,1,3
1773584117,184692832234,184693042533,210.3,OK,1,1,3
1773584118,184693042612,184693379167,336.6,OK,1,1,3
1773584119,184693379243,184693740445,361.2,OK,1,1,3
1773584120,184693740528,184693950177,209.6,OK,1,1,3
1773584121,184693950254,184694265127,314.9,OK,1,1,3
1773584122,184694265211,184694473034,207.8,OK,1,1,3
1773584123,184694473114,184694905471,432.4,OK,1,1,3
1773584124,184694905549,184695308384,402.8,OK,1,1,3
1773584125,184695308477,184695516932,208.5,OK,1,1,3
