SeqNo,Sent(usec),Received(usec),Latency(ms),Success
1773460413,61029023551,0,0.0,0
1773460414,61029524490,0,0.0,0
1773460415,61034671926,0,0.0,0
1773460416,61035172309,61035459113,286.8,1
1773460417,61035673366,61036045488,372.1,1
1773460418,61036174419,61036507268,332.8,1
1773460419,61036674996,61036985588,310.6,1
1773460420,61037176119,61037461283,285.2,1
1773460421,61037676507,61037936927,260.4,1
1773460422,61038176621,61038412483,235.9,1
1773460423,61038677207,61039042809,365.6,1
1773460424,61039177426,61039608086,430.7,1
1773460425,61039677988,0,0.0,0
1773460438,61051084735,0,0.0,0
1773460439,61051585421,61052099904,514.5,1
1773460440,61052099941,0,0.0,0
1773460441,61057105169,0,0.0,0
1773460442,61057605731,0,0.0,0
1773460443,61058106088,0,0.0,0
1773460444,61058606529,0,0.0,0
1773460445,61059106610,0,0.0,0
1773460446,61059606620,0,0.0,0
1773460447,61060106944,0,0.0,0
1773460448,61060607527,0,0.0,0
1773460449,61061108184,0,0.0,0
1773460450,61061608401,0,0.0,0
1773460451,61062109138,0,0.0,0
1773460452,61062609224,0,0.0,0
1773460453,61063110382,0,0.0,0
1773460454,61063611189,0,0.0,0
1773460455,61064111506,0,0.0,0
1773460456,61064612039,0,0.0,0
1773460457,61065112483,0,0.0,0
1773460458,61065613514,0,0.0,0
1773460459,61066114481,0,0.0,0
1773460460,61066614754,0,0.0,0
1773460461,61067115719,0,0.0,0
1773460462,61067616099,0,0.0,0
1773460463,61068116533,0,0.0,0
1773460464,61068616591,0,0.0,0
1773460465,61069117597,0,0.0,0
1773460466,61069618320,0,0.0,0
1773460467,61070462961,0,0.0,0
1773460468,61070963229,0,0.0,0
1773460469,61071463947,0,0.0,0
1773460470,61071964414,0,0.0,0
1773460471,61072465352,0,0.0,0
1773460472,61072965621,0,0.0,0
1773460473,61073501731,0,0.0,0
1773460474,61074394822,0,0.0,0
1773460475,61075136889,0,0.0,0
1773460476,61076078522,0,0.0,0
1773460477,61076945208,0,0.0,0
1773460478,61077445607,0,0.0,0
1773460479,61077945611,0,0.0,0
1773460480,61078446203,0,0.0,0
1773460481,61078946724,0,0.0,0
1773460482,61079447292,0,0.0,0
1773460483,61079948115,0,0.0,0
1773460484,61080448340,0,0.0,0
1773460485,61080949110,0,0.0,0
1773460486,61081449138,0,0.0,0
1773460487,61081949295,0,0.0,0
1773460488,61082450327,0,0.0,0
1773460489,61082951167,0,0.0,0
1773460490,61083451813,0,0.0,0
1773460491,61083952579,0,0.0,0
1773460492,61084453627,0,0.0,0
1773460493,61084953710,0,0.0,0
1773460494,61085454559,0,0.0,0
1773460495,61085955143,0,0.0,0
1773460496,61086455212,0,0.0,0
1773460497,61086955770,0,0.0,0
1773460498,61087456750,0,0.0,0
1773460499,61087957290,0,0.0,0
1773460500,61088458353,0,0.0,0
1773460501,61088959068,0,0.0,0
1773460502,61089459325,0,0.0,0
1773460503,61089960094,0,0.0,0
1773460504,61090460961,0,0.0,0
1773460505,61090961673,0,0.0,0
1773460506,61091461710,0,0.0,0
1773460507,61094068707,0,0.0,0
1773460508,61095464433,0,0.0,0
1773460509,61098335300,0,0.0,0
1773460510,61098836139,0,0.0,0
1773460511,61099650344,0,0.0,0
1773460512,61101231743,0,0.0,0
1773460513,61102104255,0,0.0,0
1773460514,61103375585,0,0.0,0
1773460515,61103875854,0,0.0,0
1773460516,61104376567,0,0.0,0
1773460517,61104940176,0,0.0,0
1773460518,61105440422,0,0.0,0
1773460519,61105941476,0,0.0,0
1773460520,61106441678,0,0.0,0
1773460521,61106942208,0,0.0,0
1773460522,61107442913,0,0.0,0
1773460523,61107943282,0,0.0,0
1773460524,61108444089,0,0.0,0
1773460525,61108944238,0,0.0,0
1773460526,61109444623,0,0.0,0
1773460527,61109944735,0,0.0,0
1773460528,61110445042,0,0.0,0
1773460529,61110946060,0,0.0,0
1773460530,61111446524,0,0.0,0
1773460531,61111947243,0,0.0,0
1773460532,61112447417,0,0.0,0
1773460533,61113321033,0,0.0,0
1773460534,61113821324,0,0.0,0
1773460535,61114321653,0,0.0,0
1773460536,61114822319,0,0.0,0
1773460537,61115323000,0,0.0,0
1773460538,61115824075,0,0.0,0
1773460539,61116324136,0,0.0,0
1773460540,61116824316,0,0.0,0
1773460541,61117325257,0,0.0,0
1773460542,61117826422,0,0.0,0
1773460543,61118365424,0,0.0,0
1773460544,61118866107,0,0.0,0
1773460545,61120107575,0,0.0,0
1773460546,61121833327,0,0.0,0
1773460547,61122696473,0,0.0,0
1773460548,61124694077,0,0.0,0
1773460549,61126276716,0,0.0,0
1773460550,61128909509,0,0.0,0
1773460551,61129410525,0,0.0,0
1773460552,61129968254,0,0.0,0
1773460553,61130468782,0,0.0,0
1773460554,61130969343,0,0.0,0
1773460555,61131733668,0,0.0,0
1773460556,61132233675,0,0.0,0
1773460557,61132733991,0,0.0,0
1773460558,61133234130,0,0.0,0
1773460559,61133734559,0,0.0,0
1773460560,61134234775,0,0.0,0
1773460561,61134735187,0,0.0,0
1773460562,61135236038,0,0.0,0
1773460563,61135736893,0,0.0,0
1773460564,61136237151,0,0.0,0
1773460565,61136737585,0,0.0,0
1773460566,61137238155,0,0.0,0
1773460567,61137739103,0,0.0,0
1773460568,61138240115,0,0.0,0
1773460569,61138740588,0,0.0,0
1773460570,61139241740,0,0.0,0
1773460571,61139742247,0,0.0,0
1773460572,61140242840,0,0.0,0
1773460573,61140743639,0,0.0,0
1773460574,61141244026,0,0.0,0
1773460575,61141744452,0,0.0,0
1773460576,61142244646,0,0.0,0
1773460577,61142745327,0,0.0,0
1773460578,61143245976,0,0.0,0
1773460579,61143747046,0,0.0,0
1773460580,61144248025,0,0.0,0
1773460581,61144748661,0,0.0,0
1773460582,61146328915,0,0.0,0
1773460583,61146829045,0,0.0,0
1773460584,61148519661,0,0.0,0
1773460585,61149020615,0,0.0,0
1773460586,61149521378,0,0.0,0
1773460587,61150344297,0,0.0,0
1773460588,61151514668,0,0.0,0
1773460589,61152014987,0,0.0,0
1773460590,61153102983,0,0.0,0
1773460591,61153603384,0,0.0,0
1773460592,61154103442,0,0.0,0
1773460593,61155899436,0,0.0,0
1773460594,61157675267,0,0.0,0
1773460595,61158175286,0,0.0,0
1773460596,61158676349,0,0.0,0
1773460597,61159177404,0,0.0,0
1773460598,61159678142,0,0.0,0
1773460599,61160179171,0,0.0,0
1773460600,61160679632,0,0.0,0
1773460601,61161180394,0,0.0,0
1773460602,61161680657,0,0.0,0
1773460603,61162181398,0,0.0,0
1773460604,61162681803,0,0.0,0
1773460605,61163182038,0,0.0,0
1773460606,61163682328,0,0.0,0
1773460607,61164183234,0,0.0,0
1773460608,61164683446,0,0.0,0
1773460609,61165183521,0,0.0,0
1773460610,61165684043,0,0.0,0
1773460611,61166184481,0,0.0,0
1773460612,61166685437,0,0.0,0
1773460613,61167186338,0,0.0,0
1773460614,61167687261,0,0.0,0
1773460615,61168188118,0,0.0,0
1773460616,61168688477,0,0.0,0
1773460617,61169189279,0,0.0,0
1773460618,61169689480,0,0.0,0
1773460619,61170190553,0,0.0,0
1773460620,61171007457,0,0.0,0
1773460621,61173165431,0,0.0,0
1773460622,61174035298,0,0.0,0
1773460623,61174784897,0,0.0,0
1773460624,61175285103,0,0.0,0
1773460625,61176225715,0,0.0,0
1773460626,61178239437,0,0.0,0
1773460627,61181678483,0,0.0,0
1773460628,61182179577,0,0.0,0
1773460629,61182680524,0,0.0,0
1773460630,61183180532,0,0.0,0
1773460631,61183680753,0,0.0,0
1773460632,61184181576,0,0.0,0
1773460633,61184682513,0,0.0,0
1773460634,61185182586,0,0.0,0
1773460635,61185683034,0,0.0,0
1773460636,61186183638,0,0.0,0
1773460637,61186684148,0,0.0,0
1773460638,61187184173,0,0.0,0
1773460639,61187684388,0,0.0,0
1773460640,61188184587,0,0.0,0
1773460641,61188684732,0,0.0,0
1773460642,61189185492,0,0.0,0
1773460643,61189686179,0,0.0,0
1773460644,61190186768,0,0.0,0
1773460645,61190687514,0,0.0,0
1773460646,61191188569,0,0.0,0
1773460647,61191688791,0,0.0,0
1773460648,61192188800,0,0.0,0
1773460649,61192688925,0,0.0,0
1773460650,61193189466,0,0.0,0
1773460651,61193689685,0,0.0,0
1773460652,61194190234,0,0.0,0
1773460653,61194690342,0,0.0,0
1773460654,61195190955,0,0.0,0
1773460655,61195691383,0,0.0,0
1773460656,61196358370,0,0.0,0
1773460657,61196858525,0,0.0,0
1773460658,61197358839,0,0.0,0
1773460659,61197859115,0,0.0,0
1773460660,61198359353,0,0.0,0
1773460661,61198860390,0,0.0,0
1773460662,61199361464,0,0.0,0
1773460663,61199862406,0,0.0,0
1773460664,61200362759,0,0.0,0
1773460665,61200863852,0,0.0,0
1773460666,61201364222,0,0.0,0
1773460667,61201864921,0,0.0,0
1773460668,61202365684,0,0.0,0
1773460669,61202866286,0,0.0,0
1773460670,61203366470,0,0.0,0
1773460671,61203867026,0,0.0,0
1773460672,61204368025,0,0.0,0
1773460673,61204868566,0,0.0,0
1773460674,61205369707,0,0.0,0
1773460675,61205870287,0,0.0,0
1773460676,61206371145,0,0.0,0
1773460677,61206872049,0,0.0,0
1773460678,61207372875,0,0.0,0
1773460679,61207872971,0,0.0,0
1773460680,61208373286,0,0.0,0
1773460681,61208874345,0,0.0,0
1773460682,61209374860,0,0.0,0
1773460683,61209875726,0,0.0,0
1773460684,61210376812,0,0.0,0
1773460685,61210877770,0,0.0,0
1773460686,61211378087,0,0.0,0
1773460687,61211878128,0,0.0,0
1773460688,61212379238,0,0.0,0
1773460689,61212879653,0,0.0,0
1773460690,61213380048,0,0.0,0
1773460691,61213880710,0,0.0,0
1773460692,61214380941,0,0.0,0
1773460693,61214881401,0,0.0,0
1773460694,61215381855,0,0.0,0
1773460695,61215882720,0,0.0,0
1773460696,61216383293,0,0.0,0
1773460697,61216883769,0,0.0,0
1773460698,61217384398,0,0.0,0
1773460699,61217885426,0,0.0,0
1773460700,61218385853,0,0.0,0
1773460701,61218886926,0,0.0,0
1773460702,61219387090,0,0.0,0
1773460703,61219887173,0,0.0,0
1773460704,61220388295,0,0.0,0
1773460705,61220889291,0,0.0,0
1773460706,61221390453,0,0.0,0
1773460707,61221890931,0,0.0,0
1773460708,61222391216,0,0.0,0
1773460709,61222891313,0,0.0,0
1773460710,61223391704,0,0.0,0
1773460711,61223892279,0,0.0,0
1773460712,61224393264,0,0.0,0
