SeqNo,Sent(usec),Received(usec),Latency(ms),Success
1773460416,56200347894,0,0.0,0
1773460417,56200976106,0,0.0,0
1773460418,56201522695,0,0.0,0
1773460419,56202022880,0,0.0,0
1773460420,56202702390,0,0.0,0
1773460421,56203203231,0,0.0,0
1773460422,56203846474,0,0.0,0
1773460423,56204347532,0,0.0,0
1773460424,56205078811,0,0.0,0
1773460425,56205579744,0,0.0,0
1773460426,56206181443,0,0.0,0
1773460427,56206681579,0,0.0,0
1773460428,56207182557,0,0.0,0
1773460429,56207683262,0,0.0,0
1773460430,56208299346,0,0.0,0
1773460431,56208799843,0,0.0,0
1773460432,56209300105,56210013224,713.1,1
1773460433,56210013275,56210504224,490.9,1
1773460434,56210514364,56211007334,493.0,1
1773460435,56211015220,56211634979,619.8,1
1773460436,56211635067,56212226730,591.7,1
1773460437,56212226976,0,0.0,0
1773460442,56220038132,0,0.0,0
1773460443,56220538345,0,0.0,0
1773460444,56221039002,0,0.0,0
1773460445,56221539957,56222194413,654.5,1
1773460446,56222194474,0,0.0,0
1773460447,56227199746,0,0.0,0
1773460448,56232205035,0,0.0,0
1773460449,56232706145,0,0.0,0
1773460450,56233206295,0,0.0,0
1773460451,56233707427,0,0.0,0
1773460466,56247016104,0,0.0,0
1773460467,56247516496,0,0.0,0
1773460468,56248016839,0,0.0,0
1773460469,56248517473,0,0.0,0
1773460470,56249017725,0,0.0,0
1773460471,56249518098,0,0.0,0
1773460472,56250018766,0,0.0,0
1773460473,56250519533,0,0.0,0
1773460474,56251020269,0,0.0,0
1773460475,56251520550,0,0.0,0
1773460476,56252020928,0,0.0,0
1773460477,56252521363,0,0.0,0
1773460478,56253021981,0,0.0,0
1773460479,56253522210,0,0.0,0
1773460480,56254023191,0,0.0,0
1773460481,56254523568,0,0.0,0
1773460482,56255024255,0,0.0,0
1773460483,56255524257,0,0.0,0
1773460484,56256024798,0,0.0,0
1773460485,56256524957,0,0.0,0
1773460486,56257025704,0,0.0,0
1773460487,56257526629,0,0.0,0
1773460488,56258026682,0,0.0,0
1773460489,56258527635,0,0.0,0
1773460490,56259027798,0,0.0,0
1773460491,56259528573,0,0.0,0
1773460492,56260028607,0,0.0,0
1773460493,56260529478,0,0.0,0
1773460494,56261067750,0,0.0,0
1773460495,56261568760,0,0.0,0
1773460496,56262068785,0,0.0,0
1773460497,56262628848,0,0.0,0
1773460498,56263129669,0,0.0,0
1773460499,56263629752,0,0.0,0
1773460500,56264227285,0,0.0,0
1773460501,56264727833,0,0.0,0
1773460502,56265326409,0,0.0,0
1773460503,56265827074,0,0.0,0
1773460504,56266328053,0,0.0,0
1773460505,56266828462,0,0.0,0
1773460506,56267329277,0,0.0,0
1773460507,56267837561,0,0.0,0
1773460508,56268338413,0,0.0,0
1773460509,56268838901,0,0.0,0
1773460510,56269429088,0,0.0,0
1773460511,56269929185,0,0.0,0
1773460512,56270429955,0,0.0,0
1773460513,56270946413,0,0.0,0
1773460514,56271446469,0,0.0,0
1773460515,56271947111,0,0.0,0
1773460516,56272448145,0,0.0,0
1773460517,56272974088,0,0.0,0
1773460518,56273474138,0,0.0,0
1773460519,56273974773,0,0.0,0
1773460520,56274475075,0,0.0,0
1773460521,56274975812,0,0.0,0
1773460522,56275476517,0,0.0,0
1773460523,56275977395,0,0.0,0
1773460524,56276478185,0,0.0,0
1773460525,56276978812,0,0.0,0
1773460526,56277479806,0,0.0,0
1773460527,56277980734,0,0.0,0
1773460528,56278481441,0,0.0,0
1773460529,56278981449,0,0.0,0
1773460530,56279482066,0,0.0,0
1773460531,56279982911,0,0.0,0
1773460532,56280483607,0,0.0,0
1773460533,56280984603,0,0.0,0
1773460534,56281485403,0,0.0,0
1773460535,56281986053,0,0.0,0
1773460536,56282486386,0,0.0,0
1773460537,56282987435,0,0.0,0
1773460538,56283487548,0,0.0,0
1773460539,56283988341,0,0.0,0
1773460540,56284489059,0,0.0,0
1773460541,56284990072,0,0.0,0
1773460542,56285490565,0,0.0,0
1773460543,56285991286,0,0.0,0
1773460544,56286491664,0,0.0,0
1773460545,56286992147,0,0.0,0
1773460546,56287529141,0,0.0,0
1773460547,56288029224,0,0.0,0
1773460548,56288530021,0,0.0,0
1773460549,56289092223,0,0.0,0
1773460550,56289592940,0,0.0,0
1773460551,56290093248,0,0.0,0
1773460552,56290593638,0,0.0,0
1773460553,56291154960,0,0.0,0
1773460554,56291655865,0,0.0,0
1773460555,56292155902,0,0.0,0
1773460556,56292713046,0,0.0,0
1773460557,56293213771,0,0.0,0
1773460558,56293809124,0,0.0,0
1773460559,56294309860,0,0.0,0
1773460560,56294897177,0,0.0,0
1773460561,56295397719,0,0.0,0
1773460562,56295962095,0,0.0,0
1773460563,56296463075,0,0.0,0
1773460564,56296963753,0,0.0,0
1773460565,56297464593,0,0.0,0
1773460566,56297964654,0,0.0,0
1773460567,56298465173,0,0.0,0
1773460568,56298966164,0,0.0,0
1773460569,56299466269,0,0.0,0
1773460570,56299967246,0,0.0,0
1773460571,56300467329,0,0.0,0
1773460572,56300967463,0,0.0,0
1773460573,56301467498,0,0.0,0
1773460574,56301968545,0,0.0,0
1773460575,56302468845,0,0.0,0
1773460576,56302969257,0,0.0,0
1773460577,56303469871,0,0.0,0
1773460578,56303970557,0,0.0,0
1773460579,56304470864,0,0.0,0
1773460580,56304971180,0,0.0,0
1773460581,56305472228,0,0.0,0
1773460582,56305973238,0,0.0,0
1773460583,56306474046,0,0.0,0
1773460584,56306974364,0,0.0,0
1773460585,56307475111,0,0.0,0
1773460586,56307975796,0,0.0,0
1773460587,56308476221,0,0.0,0
1773460588,56308976525,0,0.0,0
1773460589,56309477335,0,0.0,0
1773460590,56309978098,0,0.0,0
1773460591,56310478351,0,0.0,0
1773460592,56310978580,0,0.0,0
1773460593,56311479364,0,0.0,0
1773460594,56311979964,0,0.0,0
1773460595,56312480723,0,0.0,0
1773460596,56312981088,0,0.0,0
1773460597,56313482056,0,0.0,0
1773460598,56313982850,0,0.0,0
1773460599,56314501505,0,0.0,0
1773460600,56315002490,0,0.0,0
1773460601,56315503054,0,0.0,0
1773460602,56316010953,0,0.0,0
1773460603,56316511583,0,0.0,0
1773460604,56317122529,0,0.0,0
1773460605,56317623214,0,0.0,0
1773460606,56318123816,0,0.0,0
1773460607,56318652167,0,0.0,0
1773460608,56319152465,0,0.0,0
1773460609,56319653446,0,0.0,0
1773460610,56320234213,0,0.0,0
1773460611,56320734494,0,0.0,0
1773460612,56321234955,0,0.0,0
1773460613,56321735529,0,0.0,0
1773460614,56322236163,0,0.0,0
1773460615,56322833302,0,0.0,0
1773460616,56323333401,0,0.0,0
1773460617,56323833566,0,0.0,0
1773460618,56324333773,0,0.0,0
1773460619,56324833861,0,0.0,0
1773460620,56325334627,0,0.0,0
1773460621,56325835239,0,0.0,0
1773460622,56326336081,0,0.0,0
1773460623,56326906607,0,0.0,0
1773460624,56327407134,0,0.0,0
1773460625,56327907335,0,0.0,0
1773460626,56328465262,0,0.0,0
1773460627,56328965846,0,0.0,0
1773460628,56329465937,0,0.0,0
1773460629,56329966776,0,0.0,0
1773460630,56330467525,0,0.0,0
1773460631,56330968343,0,0.0,0
1773460632,56331468409,0,0.0,0
1773460633,56331969103,0,0.0,0
1773460634,56332470028,0,0.0,0
1773460635,56332970712,0,0.0,0
1773460636,56333470753,0,0.0,0
1773460637,56333971405,0,0.0,0
1773460638,56334471821,0,0.0,0
1773460639,56334972359,0,0.0,0
1773460640,56335472851,0,0.0,0
1773460641,56335972971,0,0.0,0
1773460642,56336473847,0,0.0,0
1773460643,56336974746,0,0.0,0
1773460644,56337474938,0,0.0,0
1773460645,56337975598,0,0.0,0
1773460646,56338476579,0,0.0,0
1773460647,56338977000,0,0.0,0
1773460648,56339477301,0,0.0,0
1773460649,56339977992,0,0.0,0
1773460650,56340478413,0,0.0,0
1773460651,56340986805,0,0.0,0
1773460652,56341487764,0,0.0,0
1773460653,56342062538,0,0.0,0
1773460654,56342562917,0,0.0,0
1773460655,56343124138,0,0.0,0
1773460656,56343624155,0,0.0,0
1773460657,56344125221,0,0.0,0
1773460658,56344683180,0,0.0,0
1773460659,56345184145,0,0.0,0
1773460660,56345715076,0,0.0,0
1773460661,56346215167,0,0.0,0
1773460662,56346715810,0,0.0,0
1773460663,56347216597,0,0.0,0
1773460664,56347764161,0,0.0,0
1773460665,56348264450,0,0.0,0
1773460666,56348764524,0,0.0,0
1773460667,56349265219,0,0.0,0
1773460668,56349765962,0,0.0,0
1773460669,56350351123,0,0.0,0
1773460670,56350851517,0,0.0,0
1773460671,56351352266,0,0.0,0
1773460672,56351935451,0,0.0,0
1773460673,56352435709,0,0.0,0
1773460674,56352936801,0,0.0,0
1773460675,56353437173,0,0.0,0
1773460676,56353937609,0,0.0,0
1773460677,56354437709,0,0.0,0
1773460678,56354938740,0,0.0,0
1773460679,56355503876,0,0.0,0
1773460680,56356003940,0,0.0,0
1773460681,56356504951,0,0.0,0
1773460682,56357005880,0,0.0,0
1773460683,56357505990,0,0.0,0
1773460684,56358006461,0,0.0,0
1773460685,56358507318,0,0.0,0
1773460686,56359007811,0,0.0,0
1773460687,56359508063,0,0.0,0
1773460688,56360008646,0,0.0,0
1773460689,56360509020,0,0.0,0
1773460690,56361009045,0,0.0,0
1773460691,56361509551,0,0.0,0
1773460692,56362009722,0,0.0,0
1773460693,56362509882,0,0.0,0
1773460694,56363010855,0,0.0,0
1773460695,56363511273,0,0.0,0
1773460696,56364011750,0,0.0,0
1773460697,56364511892,0,0.0,0
1773460698,56365012101,0,0.0,0
1773460699,56365512601,0,0.0,0
1773460700,56366012669,0,0.0,0
1773460701,56366513230,0,0.0,0
1773460702,56367014119,0,0.0,0
1773460703,56367514601,0,0.0,0
1773460704,56368014618,0,0.0,0
1773460705,56368554968,0,0.0,0
1773460706,56369055666,0,0.0,0
1773460707,56369556115,0,0.0,0
1773460708,56370062277,0,0.0,0
