SeqNo,Sent(usec),Received(usec),Latency(ms),Success
1773460417,56202912784,0,0.0,0
1773460418,56203492106,0,0.0,0
1773460419,56204267715,0,0.0,0
1773460420,56204768480,0,0.0,0
1773460421,56205268680,0,0.0,0
1773460422,56205769582,0,0.0,0
1773460423,56206269892,0,0.0,0
1773460424,56206770542,0,0.0,0
1773460425,56207401731,0,0.0,0
1773460426,56207902019,0,0.0,0
1773460427,56208783552,0,0.0,0
1773460428,56209284021,0,0.0,0
1773460429,56209810251,0,0.0,0
1773460430,56210310695,0,0.0,0
1773460431,56210811513,0,0.0,0
1773460432,56211311848,0,0.0,0
1773460433,56211812787,0,0.0,0
1773460434,56212313934,56213484942,1171.0,1
1773460435,56213484977,56214410979,926.0,1
1773460436,56214411044,56215517742,1106.7,1
1773460437,56215517812,0,0.0,0
1773460455,56234430621,0,0.0,0
1773460456,56235064896,0,0.0,0
1773460457,56235718219,0,0.0,0
1773460458,56236219034,0,0.0,0
1773460459,56236719898,0,0.0,0
1773460460,56237220066,0,0.0,0
1773460461,56237721048,0,0.0,0
1773460462,56238221344,0,0.0,0
1773460463,56238722282,0,0.0,0
1773460464,56239222952,0,0.0,0
1773460465,56239724075,0,0.0,0
1773460466,56240224561,0,0.0,0
1773460467,56240725272,0,0.0,0
1773460468,56241225902,0,0.0,0
1773460469,56241725960,0,0.0,0
1773460470,56242226733,0,0.0,0
1773460471,56242727105,0,0.0,0
1773460472,56243227748,0,0.0,0
1773460473,56243728787,0,0.0,0
1773460474,56244229586,0,0.0,0
1773460475,56244730513,0,0.0,0
1773460476,56245231133,0,0.0,0
1773460477,56245731629,0,0.0,0
1773460478,56246232729,0,0.0,0
1773460479,56246733567,0,0.0,0
1773460480,56247234272,0,0.0,0
1773460481,56247737840,0,0.0,0
1773460482,56248238768,0,0.0,0
1773460483,56249644650,0,0.0,0
1773460484,56251007918,0,0.0,0
1773460485,56252198401,0,0.0,0
1773460486,56254652207,0,0.0,0
1773460487,56256688835,0,0.0,0
1773460488,56257188963,0,0.0,0
1773460489,56258798285,0,0.0,0
1773460490,56259298664,0,0.0,0
1773460491,56261997541,0,0.0,0
1773460492,56262498389,0,0.0,0
1773460493,56262999005,0,0.0,0
1773460494,56263766876,0,0.0,0
1773460495,56264267111,0,0.0,0
1773460496,56264767896,0,0.0,0
1773460497,56265268183,0,0.0,0
1773460498,56265768878,0,0.0,0
1773460499,56266269902,0,0.0,0
1773460500,56266770189,0,0.0,0
1773460501,56267271242,0,0.0,0
1773460502,56267771498,0,0.0,0
1773460503,56268272187,0,0.0,0
1773460504,56268772532,0,0.0,0
1773460505,56269272763,0,0.0,0
1773460506,56269773852,0,0.0,0
1773460507,56270274275,0,0.0,0
1773460508,56270775200,0,0.0,0
1773460509,56271275952,0,0.0,0
1773460510,56271776382,0,0.0,0
1773460511,56272277517,0,0.0,0
1773460512,56272777532,0,0.0,0
1773460513,56273278060,0,0.0,0
1773460514,56273778549,0,0.0,0
1773460515,56274279327,0,0.0,0
1773460516,56274779331,0,0.0,0
1773460517,56275280378,0,0.0,0
1773460518,56275781498,0,0.0,0
1773460519,56276281793,0,0.0,0
1773460520,56276782287,0,0.0,0
1773460521,56277283011,0,0.0,0
1773460522,56277783449,0,0.0,0
1773460523,56278283543,0,0.0,0
1773460524,56279141212,0,0.0,0
1773460525,56279957779,0,0.0,0
1773460526,56280788139,0,0.0,0
1773460527,56282887349,0,0.0,0
1773460528,56283652186,0,0.0,0
1773460529,56284153259,0,0.0,0
1773460530,56285024256,0,0.0,0
1773460531,56287329137,0,0.0,0
1773460532,56289297887,0,0.0,0
1773460533,56290902488,0,0.0,0
1773460534,56292551199,0,0.0,0
1773460535,56293416652,0,0.0,0
1773460536,56293917376,0,0.0,0
1773460537,56294418507,0,0.0,0
1773460538,56294918574,0,0.0,0
1773460539,56295419485,0,0.0,0
1773460540,56295919993,0,0.0,0
1773460541,56296420824,0,0.0,0
1773460542,56296920849,0,0.0,0
1773460543,56297420877,0,0.0,0
1773460544,56297921673,0,0.0,0
1773460545,56298422292,0,0.0,0
1773460546,56298922830,0,0.0,0
1773460547,56299423103,0,0.0,0
1773460548,56299924198,0,0.0,0
1773460549,56300424527,0,0.0,0
1773460550,56300924984,0,0.0,0
1773460551,56301425921,0,0.0,0
1773460552,56301926977,0,0.0,0
1773460553,56302427293,0,0.0,0
1773460554,56302928360,0,0.0,0
1773460555,56303428794,0,0.0,0
1773460556,56303929123,0,0.0,0
1773460557,56304429875,0,0.0,0
1773460558,56304930759,0,0.0,0
1773460559,56305431472,0,0.0,0
1773460560,56305932184,0,0.0,0
1773460561,56306432872,0,0.0,0
1773460562,56306933845,0,0.0,0
1773460563,56311490114,0,0.0,0
1773460564,56311991110,0,0.0,0
1773460565,56312491355,0,0.0,0
1773460566,56313545831,0,0.0,0
1773460567,56314045850,0,0.0,0
1773460568,56315286925,0,0.0,0
1773460569,56316548378,0,0.0,0
1773460570,56318505663,0,0.0,0
1773460571,56319722227,0,0.0,0
1773460572,56320223212,0,0.0,0
1773460573,56321716505,0,0.0,0
1773460574,56322217319,0,0.0,0
1773460575,56322718387,0,0.0,0
1773460576,56323219327,0,0.0,0
1773460577,56323720111,0,0.0,0
1773460578,56324220855,0,0.0,0
1773460579,56324720921,0,0.0,0
1773460580,56325220937,0,0.0,0
1773460581,56325721793,0,0.0,0
1773460582,56326222062,0,0.0,0
1773460583,56326722167,0,0.0,0
1773460584,56327222617,0,0.0,0
1773460585,56327723655,0,0.0,0
1773460586,56328224283,0,0.0,0
1773460587,56328724424,0,0.0,0
1773460588,56329225442,0,0.0,0
1773460589,56329726306,0,0.0,0
1773460590,56330226834,0,0.0,0
1773460591,56330727896,0,0.0,0
1773460592,56331228856,0,0.0,0
1773460593,56331729604,0,0.0,0
1773460594,56332229788,0,0.0,0
1773460595,56332730471,0,0.0,0
1773460596,56333231160,0,0.0,0
1773460597,56333731803,0,0.0,0
1773460598,56334231856,0,0.0,0
1773460599,56334732250,0,0.0,0
1773460600,56335233100,0,0.0,0
1773460601,56335733664,0,0.0,0
1773460602,56336234782,0,0.0,0
1773460603,56336735216,0,0.0,0
1773460604,56337236259,0,0.0,0
1773460605,56337793490,0,0.0,0
1773460606,56338293655,0,0.0,0
1773460607,56339086483,0,0.0,0
1773460608,56339962203,0,0.0,0
1773460609,56340463268,0,0.0,0
1773460610,56341139839,0,0.0,0
1773460611,56342631107,0,0.0,0
1773460612,56343461594,0,0.0,0
1773460613,56344751730,0,0.0,0
1773460614,56345251954,0,0.0,0
1773460615,56345752848,0,0.0,0
1773460616,56346870847,0,0.0,0
1773460617,56348047426,0,0.0,0
1773460618,56348548174,0,0.0,0
1773460619,56349661721,0,0.0,0
1773460620,56350481521,0,0.0,0
1773460621,56350981616,0,0.0,0
1773460622,56352871715,0,0.0,0
1773460623,56353372547,0,0.0,0
1773460624,56353873316,0,0.0,0
1773460625,56354491764,0,0.0,0
1773460626,56354992099,0,0.0,0
1773460627,56355493018,0,0.0,0
1773460628,56355993648,0,0.0,0
1773460629,56356494410,0,0.0,0
1773460630,56356995048,0,0.0,0
1773460631,56357495749,0,0.0,0
1773460632,56357995926,0,0.0,0
1773460633,56358496988,0,0.0,0
1773460634,56358997835,0,0.0,0
1773460635,56359498007,0,0.0,0
1773460636,56359998965,0,0.0,0
1773460637,56360499766,0,0.0,0
1773460638,56360999926,0,0.0,0
1773460639,56361500575,0,0.0,0
1773460640,56362000583,0,0.0,0
1773460641,56362501440,0,0.0,0
1773460642,56363001855,0,0.0,0
1773460643,56363502393,0,0.0,0
1773460644,56364002486,0,0.0,0
1773460645,56364502848,0,0.0,0
1773460646,56365002977,0,0.0,0
1773460647,56365503220,0,0.0,0
1773460648,56366004030,0,0.0,0
1773460649,56366504555,0,0.0,0
1773460650,56367004997,0,0.0,0
1773460651,56367505622,0,0.0,0
1773460652,56368005746,0,0.0,0
1773460653,56368505967,0,0.0,0
1773460654,56369952938,0,0.0,0
1773460655,56372306765,0,0.0,0
1773460656,56372806879,0,0.0,0
1773460657,56373535699,0,0.0,0
1773460658,56374345762,0,0.0,0
1773460659,56374846642,0,0.0,0
1773460660,56375346706,0,0.0,0
1773460661,56375968320,0,0.0,0
1773460662,56376468674,0,0.0,0
1773460663,56377211148,0,0.0,0
1773460664,56379613642,0,0.0,0
1773460665,56380377976,0,0.0,0
1773460666,56380878105,0,0.0,0
1773460667,56381378706,0,0.0,0
1773460668,56381878893,0,0.0,0
1773460669,56384418074,0,0.0,0
1773460670,56384918889,0,0.0,0
1773460671,56385419311,0,0.0,0
1773460672,56385919905,0,0.0,0
1773460673,56386420931,0,0.0,0
1773460674,56386921429,0,0.0,0
1773460675,56387421741,0,0.0,0
1773460676,56387922407,0,0.0,0
1773460677,56388423020,0,0.0,0
1773460678,56388923863,0,0.0,0
1773460679,56389423981,0,0.0,0
1773460680,56389925111,0,0.0,0
1773460681,56390426160,0,0.0,0
1773460682,56390926227,0,0.0,0
1773460683,56391427127,0,0.0,0
1773460684,56391927315,0,0.0,0
1773460685,56392427504,0,0.0,0
1773460686,56392928328,0,0.0,0
1773460687,56393429123,0,0.0,0
1773460688,56393930199,0,0.0,0
1773460689,56394430601,0,0.0,0
1773460690,56394930681,0,0.0,0
1773460691,56395431645,0,0.0,0
1773460692,56395932464,0,0.0,0
1773460693,56396433262,0,0.0,0
1773460694,56396933421,0,0.0,0
1773460695,56397434482,0,0.0,0
1773460696,56397935274,0,0.0,0
1773460697,56398435882,0,0.0,0
1773460698,56398936108,0,0.0,0
1773460699,56399437049,0,0.0,0
1773460700,56399937947,0,0.0,0
1773460701,56400438548,0,0.0,0
1773460702,56400939339,0,0.0,0
1773460703,56401439858,0,0.0,0
1773460704,56401939903,0,0.0,0
1773460705,56402440233,0,0.0,0
1773460706,56403500388,0,0.0,0
1773460707,56404000642,0,0.0,0
1773460708,56404789123,0,0.0,0
1773460709,56405544154,0,0.0,0
1773460710,56406045214,0,0.0,0
1773460711,56407182787,0,0.0,0
1773460712,56409858735,0,0.0,0
1773460713,56410359643,0,0.0,0
1773460714,56411429307,0,0.0,0
1773460715,56411929611,0,0.0,0
1773460716,56413057497,0,0.0,0
1773460717,56413557636,0,0.0,0
1773460718,56414058657,0,0.0,0
1773460719,56415463128,0,0.0,0
1773460720,56415963412,0,0.0,0
1773460721,56417058899,0,0.0,0
1773460722,56417559183,0,0.0,0
1773460723,56418060247,0,0.0,0
1773460724,56418560849,0,0.0,0
1773460725,56419061568,0,0.0,0
1773460726,56419562247,0,0.0,0
1773460727,56420063058,0,0.0,0
1773460728,56420563705,0,0.0,0
1773460729,56421064590,0,0.0,0
1773460730,56421565136,0,0.0,0
1773460731,56422065521,0,0.0,0
1773460732,56422566282,0,0.0,0
1773460733,56423066963,0,0.0,0
1773460734,56423567094,0,0.0,0
1773460735,56424067480,0,0.0,0
1773460736,56424567885,0,0.0,0
1773460737,56425068914,0,0.0,0
1773460738,56425569188,0,0.0,0
1773460739,56426069324,0,0.0,0
1773460740,56426570062,0,0.0,0
1773460741,56427070078,0,0.0,0
1773460742,56427570728,0,0.0,0
1773460743,56428071658,0,0.0,0
1773460744,56428571772,0,0.0,0
1773460745,56429072674,0,0.0,0
1773460746,56429573314,0,0.0,0
1773460747,56430074356,0,0.0,0
1773460748,56430575292,0,0.0,0
1773460749,56431076377,0,0.0,0
1773460750,56431576595,0,0.0,0
1773460751,56433162901,0,0.0,0
1773460752,56433867789,0,0.0,0
1773460753,56434368268,0,0.0,0
1773460754,56437054714,0,0.0,0
1773460755,56437555552,0,0.0,0
1773460756,56438322435,0,0.0,0
1773460757,56439116299,0,0.0,0
1773460758,56439837790,0,0.0,0
1773460759,56440688669,0,0.0,0
1773460760,56442316091,0,0.0,0
1773460761,56443508878,0,0.0,0
1773460762,56445048120,0,0.0,0
1773460763,56445742047,0,0.0,0
1773460764,56447647985,0,0.0,0
1773460765,56448505829,0,0.0,0
1773460766,56449005885,0,0.0,0
1773460767,56449506464,0,0.0,0
1773460768,56450007589,0,0.0,0
1773460769,56450508748,0,0.0,0
1773460770,56451008873,0,0.0,0
1773460771,56451508896,0,0.0,0
1773460772,56452009468,0,0.0,0
1773460773,56452510162,0,0.0,0
1773460774,56453010375,0,0.0,0
1773460775,56453511466,0,0.0,0
1773460776,56454011602,0,0.0,0
1773460777,56454512607,0,0.0,0
1773460778,56455013664,0,0.0,0
1773460779,56455513865,0,0.0,0
1773460780,56456014580,0,0.0,0
1773460781,56456514829,0,0.0,0
1773460782,56457015491,0,0.0,0
1773460783,56457515808,0,0.0,0
1773460784,56458016776,0,0.0,0
1773460785,56458516957,0,0.0,0
1773460786,56459017497,0,0.0,0
1773460787,56459518028,0,0.0,0
1773460788,56460018046,0,0.0,0
1773460789,56460518341,0,0.0,0
1773460790,56461018954,0,0.0,0
1773460791,56461520011,0,0.0,0
1773460792,56462021008,0,0.0,0
1773460793,56462522089,0,0.0,0
1773460794,56463022424,0,0.0,0
1773460795,56463523104,0,0.0,0
1773460796,56464023136,0,0.0,0
1773460797,56467234149,0,0.0,0
1773460798,56468062297,0,0.0,0
1773460799,56468562501,0,0.0,0
1773460800,56469334696,0,0.0,0
1773460801,56469835278,0,0.0,0
1773460802,56470335637,0,0.0,0
1773460803,56470835768,0,0.0,0
1773460804,56471414885,0,0.0,0
1773460805,56472210156,0,0.0,0
1773460806,56472710927,0,0.0,0
1773460807,56473211513,0,0.0,0
1773460808,56473794330,0,0.0,0
1773460809,56474913780,0,0.0,0
1773460810,56475414484,0,0.0,0
1773460811,56475915356,0,0.0,0
1773460812,56476945799,0,0.0,0
1773460813,56477446677,0,0.0,0
1773460814,56477947259,0,0.0,0
1773460815,56479488700,0,0.0,0
1773460816,56479989335,0,0.0,0
1773460817,56480489790,0,0.0,0
1773460818,56480990643,0,0.0,0
1773460819,56481490728,0,0.0,0
1773460820,56481991623,0,0.0,0
1773460821,56482491657,0,0.0,0
1773460822,56482992051,0,0.0,0
1773460823,56483492348,0,0.0,0
1773460824,56483992668,0,0.0,0
1773460825,56484493350,0,0.0,0
1773460826,56484993729,0,0.0,0
1773460827,56485494464,0,0.0,0
1773460828,56485995144,0,0.0,0
1773460829,56486495757,0,0.0,0
1773460830,56486996761,0,0.0,0
1773460831,56487497413,0,0.0,0
1773460832,56487998097,0,0.0,0
1773460833,56488498742,0,0.0,0
1773460834,56488998769,0,0.0,0
1773460835,56489499404,0,0.0,0
1773460836,56489999484,0,0.0,0
1773460837,56490499820,0,0.0,0
1773460838,56491000577,0,0.0,0
1773460839,56491501099,0,0.0,0
1773460840,56492002238,0,0.0,0
1773460841,56492502449,0,0.0,0
1773460842,56493002605,0,0.0,0
1773460843,56493503133,0,0.0,0
1773460844,56494003459,0,0.0,0
1773460845,56494503571,0,0.0,0
1773460846,56495754822,0,0.0,0
1773460847,56496255467,0,0.0,0
1773460848,56497773572,0,0.0,0
1773460849,56498274510,0,0.0,0
1773460850,56499363633,0,0.0,0
1773460851,56500177775,0,0.0,0
1773460852,56501320704,0,0.0,0
1773460853,56502804263,0,0.0,0
1773460854,56503558657,0,0.0,0
1773460855,56504360942,0,0.0,0
1773460856,56504861011,0,0.0,0
1773460857,56505559420,0,0.0,0
1773460858,56506060148,0,0.0,0
1773460859,56506560950,0,0.0,0
1773460860,56507061199,0,0.0,0
1773460861,56508149771,0,0.0,0
1773460862,56508650669,0,0.0,0
1773460863,56509739234,0,0.0,0
1773460864,56511712535,0,0.0,0
1773460865,56512212908,0,0.0,0
1773460866,56512713452,0,0.0,0
1773460867,56513214069,0,0.0,0
